               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.032412,            0.028472,           0.0044096,             0.61199,             0.67157,             0.62774,             0.35914,             0.03481,            0.018198,            0.017244,            0.004456,            0.004456,            0.004456
                  58,             0.03228,            0.028146,           0.0045388,              0.6051,             0.65782,              0.6178,             0.35201,            0.034405,             0.01893,            0.015797,            0.004357,            0.004357,            0.004357
                  59,            0.031627,            0.028527,           0.0041808,             0.59978,             0.64892,             0.61831,             0.35014,             0.03421,            0.018881,            0.016725,            0.004258,            0.004258,            0.004258
                  60,              0.0316,             0.02776,            0.003941,             0.62367,             0.66021,              0.6266,             0.35473,            0.034784,            0.019032,            0.014036,            0.004159,            0.004159,            0.004159
                  61,             0.03151,            0.027483,           0.0038867,             0.57908,             0.65998,             0.60984,             0.33757,            0.035529,            0.019186,            0.015496,             0.00406,             0.00406,             0.00406
                  62,             0.03178,            0.027733,            0.004183,             0.59813,             0.66233,             0.61223,             0.33733,            0.034839,            0.019573,            0.016372,            0.003961,            0.003961,            0.003961
                  63,            0.031159,            0.027578,           0.0040545,             0.59051,             0.67161,             0.61193,             0.34412,            0.034867,            0.019123,            0.015457,            0.003862,            0.003862,            0.003862
                  64,            0.030983,            0.027896,           0.0035517,             0.63005,             0.64062,             0.62066,             0.35105,            0.035139,            0.019224,            0.014622,            0.003763,            0.003763,            0.003763
                  65,            0.030546,            0.027441,           0.0035157,              0.6077,             0.63662,              0.6135,             0.35061,            0.035204,            0.019623,            0.016944,            0.003664,            0.003664,            0.003664
                  66,            0.030854,            0.026395,           0.0036622,             0.63932,             0.62829,             0.62274,             0.35297,             0.03524,            0.019746,            0.015002,            0.003565,            0.003565,            0.003565
                  67,             0.03088,            0.027442,           0.0037497,             0.62538,             0.63029,             0.62143,             0.34619,            0.035038,            0.019098,            0.013755,            0.003466,            0.003466,            0.003466
                  68,             0.03021,            0.027272,           0.0037308,             0.61701,             0.66252,             0.63651,             0.36387,            0.035554,            0.019263,            0.014736,            0.003367,            0.003367,            0.003367
                  69,            0.029667,             0.02681,           0.0038406,             0.61128,             0.65367,             0.62748,             0.35223,            0.034606,            0.019552,            0.014902,            0.003268,            0.003268,            0.003268
                  70,            0.029546,            0.025911,           0.0033377,             0.63953,             0.64474,             0.62224,               0.352,            0.034793,            0.019812,            0.015396,            0.003169,            0.003169,            0.003169
                  71,            0.029915,            0.026129,           0.0033046,             0.66511,             0.62153,             0.64008,             0.36052,             0.03514,            0.019717,             0.01369,             0.00307,             0.00307,             0.00307
                  72,            0.029905,            0.026523,             0.00333,             0.59921,             0.64295,             0.61636,              0.3524,            0.035498,            0.020268,            0.015092,            0.002971,            0.002971,            0.002971
                  73,            0.029097,            0.025851,           0.0033223,             0.61003,             0.66629,             0.62785,             0.34687,            0.035424,            0.020161,            0.015875,            0.002872,            0.002872,            0.002872
                  74,            0.028932,            0.025913,           0.0032582,             0.66293,             0.63361,             0.63123,             0.35419,            0.035614,            0.020229,            0.014788,            0.002773,            0.002773,            0.002773
                  75,            0.028985,            0.025497,             0.00316,             0.63826,             0.64514,             0.63493,             0.35534,             0.03491,            0.019636,            0.015332,            0.002674,            0.002674,            0.002674
                  76,            0.028327,            0.026262,           0.0030259,             0.61567,             0.65995,             0.61997,             0.35715,            0.035573,            0.020097,            0.016453,            0.002575,            0.002575,            0.002575
                  77,            0.028023,             0.02586,           0.0026674,             0.63388,             0.66132,             0.61793,             0.35555,             0.03542,            0.020065,            0.015974,            0.002476,            0.002476,            0.002476
                  78,            0.028157,            0.026097,           0.0026901,             0.62443,             0.63689,             0.61707,              0.3549,            0.035938,            0.020543,            0.016805,            0.002377,            0.002377,            0.002377
                  79,            0.027954,            0.025425,           0.0029816,             0.65254,             0.63067,             0.63181,             0.36245,            0.035626,            0.020451,            0.017345,            0.002278,            0.002278,            0.002278
                  80,            0.027643,            0.025121,           0.0026035,             0.65373,             0.63025,             0.63462,             0.36037,            0.035298,            0.020402,            0.015862,            0.002179,            0.002179,            0.002179
                  81,            0.027505,            0.025101,           0.0028664,             0.67065,             0.61319,             0.63057,             0.36047,            0.035528,            0.020395,            0.015224,             0.00208,             0.00208,             0.00208
                  82,            0.027361,            0.024729,           0.0025666,              0.6268,             0.66958,              0.6339,             0.37065,            0.035317,            0.020416,            0.015738,            0.001981,            0.001981,            0.001981
                  83,             0.02692,            0.024743,           0.0027163,             0.62788,             0.64823,             0.62408,             0.35581,            0.035665,            0.020618,            0.016108,            0.001882,            0.001882,            0.001882
                  84,            0.026761,            0.024326,           0.0026277,             0.62757,             0.63519,             0.62192,             0.36174,            0.035089,            0.020733,            0.015888,            0.001783,            0.001783,            0.001783
                  85,            0.027029,            0.024121,           0.0026709,             0.61401,             0.66378,             0.62641,             0.36132,            0.035133,            0.020631,            0.016015,            0.001684,            0.001684,            0.001684
                  86,             0.02676,            0.024548,           0.0023952,             0.65612,             0.63856,             0.62801,             0.36055,            0.035579,             0.02083,            0.014971,            0.001585,            0.001585,            0.001585
                  87,            0.026512,            0.024421,           0.0023269,             0.65525,             0.64657,             0.63011,             0.36678,            0.035396,            0.020757,            0.014979,            0.001486,            0.001486,            0.001486
                  88,            0.026363,            0.023949,           0.0025093,             0.64054,             0.64554,             0.62374,             0.36184,            0.035171,            0.020891,            0.015242,            0.001387,            0.001387,            0.001387
                  89,            0.025964,            0.024503,           0.0024152,             0.61929,             0.66308,             0.62228,             0.35926,            0.035321,            0.020986,             0.01502,            0.001288,            0.001288,            0.001288
                  90,            0.026149,            0.024442,           0.0022969,             0.61891,             0.66642,             0.62273,             0.36028,            0.035369,            0.021006,            0.015462,            0.001189,            0.001189,            0.001189
                  91,            0.025349,            0.024055,           0.0022762,             0.63912,             0.63922,             0.62554,             0.36311,            0.035179,             0.02092,            0.014995,             0.00109,             0.00109,             0.00109
                  92,            0.025697,            0.023882,           0.0023498,             0.65259,             0.64537,             0.63809,             0.36559,            0.035655,            0.021126,             0.01525,            0.000991,            0.000991,            0.000991
                  93,            0.025107,            0.024631,           0.0020553,             0.66631,              0.6114,             0.63078,             0.36858,            0.035265,            0.021209,            0.015421,            0.000892,            0.000892,            0.000892
                  94,            0.025378,            0.024049,           0.0024542,             0.66979,             0.61745,             0.63027,             0.36578,            0.035602,            0.021365,            0.015761,            0.000793,            0.000793,            0.000793
                  95,            0.024836,            0.023236,           0.0019637,             0.67279,             0.61437,             0.62788,             0.36352,            0.035482,            0.021549,            0.015177,            0.000694,            0.000694,            0.000694
                  96,            0.024709,             0.02464,           0.0021001,             0.64424,             0.63591,             0.62549,             0.36342,            0.035414,            0.021281,            0.015049,            0.000595,            0.000595,            0.000595
                  97,            0.025211,            0.024041,           0.0019069,             0.64395,             0.66051,             0.63453,             0.36754,            0.035497,            0.021316,            0.015117,            0.000496,            0.000496,            0.000496
                  98,            0.024531,            0.023364,           0.0018438,             0.67061,             0.63515,             0.63511,             0.36972,            0.035447,            0.021286,            0.015655,            0.000397,            0.000397,            0.000397
                  99,            0.024723,             0.02393,            0.002003,             0.66223,             0.63104,             0.63041,             0.36519,            0.035432,            0.021513,            0.015837,            0.000298,            0.000298,            0.000298
